timestamp,session_id,eye_count,gaze_points
2025-04-26T13:17:51.978376,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:17:52.559454,2025-04-26T12:17:50.514Z,2,"[{'x': 440, 'y': 339}, {'x': 342, 'y': 329}]"
2025-04-26T13:17:53.569739,2025-04-26T12:17:50.514Z,2,"[{'x': 326, 'y': 343}, {'x': 430, 'y': 350}]"
2025-04-26T13:17:54.562520,2025-04-26T12:17:50.514Z,2,"[{'x': 299, 'y': 354}, {'x': 400, 'y': 355}]"
2025-04-26T13:17:55.552714,2025-04-26T12:17:50.514Z,2,"[{'x': 306, 'y': 333}, {'x': 408, 'y': 335}]"
2025-04-26T13:17:56.551859,2025-04-26T12:17:50.514Z,2,"[{'x': 405, 'y': 327}, {'x': 309, 'y': 323}]"
2025-04-26T13:17:57.560508,2025-04-26T12:17:50.514Z,1,"[{'x': 339, 'y': 331}]"
2025-04-26T13:17:58.563324,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:17:59.569979,2025-04-26T12:17:50.514Z,1,"[{'x': 315, 'y': 335}]"
2025-04-26T13:18:00.575733,2025-04-26T12:17:50.514Z,2,"[{'x': 278, 'y': 342}, {'x': 383, 'y': 349}]"
2025-04-26T13:18:01.551930,2025-04-26T12:17:50.514Z,2,"[{'x': 290, 'y': 338}, {'x': 390, 'y': 348}]"
2025-04-26T13:18:02.564330,2025-04-26T12:17:50.514Z,2,"[{'x': 298, 'y': 331}, {'x': 396, 'y': 342}]"
2025-04-26T13:18:03.554331,2025-04-26T12:17:50.514Z,2,"[{'x': 309, 'y': 335}, {'x': 409, 'y': 345}]"
2025-04-26T13:18:04.578197,2025-04-26T12:17:50.514Z,2,"[{'x': 321, 'y': 339}, {'x': 423, 'y': 350}]"
2025-04-26T13:18:05.575778,2025-04-26T12:17:50.514Z,1,"[{'x': 328, 'y': 343}]"
2025-04-26T13:18:06.560950,2025-04-26T12:17:50.514Z,1,"[{'x': 337, 'y': 343}]"
2025-04-26T13:18:07.558620,2025-04-26T12:17:50.514Z,2,"[{'x': 445, 'y': 355}, {'x': 341, 'y': 341}]"
2025-04-26T13:18:08.555823,2025-04-26T12:17:50.514Z,2,"[{'x': 323, 'y': 342}, {'x': 424, 'y': 352}]"
2025-04-26T13:18:09.547047,2025-04-26T12:17:50.514Z,2,"[{'x': 436, 'y': 353}, {'x': 330, 'y': 341}]"
2025-04-26T13:18:10.552654,2025-04-26T12:17:50.514Z,2,"[{'x': 344, 'y': 338}, {'x': 441, 'y': 347}]"
2025-04-26T13:18:11.567950,2025-04-26T12:17:50.514Z,3,"[{'x': 401, 'y': 414}, {'x': 340, 'y': 337}, {'x': 438, 'y': 348}]"
2025-04-26T13:18:12.548000,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:13.556209,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:14.547712,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:15.547851,2025-04-26T12:17:50.514Z,2,"[{'x': 283, 'y': 366}, {'x': 405, 'y': 367}]"
2025-04-26T13:18:16.554247,2025-04-26T12:17:50.514Z,2,"[{'x': 429, 'y': 371}, {'x': 303, 'y': 364}]"
2025-04-26T13:18:17.552225,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:18.540928,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:19.559429,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:20.562910,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:21.547793,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:22.557632,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:23.554341,2025-04-26T12:17:50.514Z,0,[]
2025-04-26T13:18:24.563655,2025-04-26T12:17:50.514Z,2,"[{'x': 460, 'y': 371}, {'x': 328, 'y': 356}]"
2025-04-26T13:18:25.553834,2025-04-26T12:17:50.514Z,2,"[{'x': 461, 'y': 372}, {'x': 331, 'y': 357}]"
2025-04-26T13:18:26.589572,2025-04-26T12:17:50.514Z,2,"[{'x': 335, 'y': 355}, {'x': 463, 'y': 370}]"
2025-04-26T13:18:27.547765,2025-04-26T12:17:50.514Z,2,"[{'x': 327, 'y': 325}, {'x': 431, 'y': 332}]"
2025-04-26T13:18:28.575759,2025-04-26T12:17:50.514Z,2,"[{'x': 410, 'y': 344}, {'x': 314, 'y': 340}]"
2025-04-26T13:18:29.584083,2025-04-26T12:17:50.514Z,2,"[{'x': 285, 'y': 356}, {'x': 383, 'y': 362}]"
2025-04-26T13:18:30.592183,2025-04-26T12:17:50.514Z,2,"[{'x': 420, 'y': 373}, {'x': 318, 'y': 362}]"
2025-04-26T13:18:31.554065,2025-04-26T12:17:50.514Z,2,"[{'x': 337, 'y': 365}, {'x': 437, 'y': 377}]"
2025-04-26T13:18:32.567814,2025-04-26T12:17:50.514Z,2,"[{'x': 442, 'y': 376}, {'x': 337, 'y': 365}]"
2025-04-26T13:18:33.572716,2025-04-26T12:17:50.514Z,2,"[{'x': 339, 'y': 357}, {'x': 443, 'y': 371}]"
2025-04-26T13:18:34.548035,2025-04-26T12:17:50.514Z,2,"[{'x': 337, 'y': 356}, {'x': 442, 'y': 370}]"
2025-04-26T13:18:35.577921,2025-04-26T12:17:50.514Z,3,"[{'x': 407, 'y': 442}, {'x': 346, 'y': 355}, {'x': 453, 'y': 372}]"
2025-04-26T13:18:36.576797,2025-04-26T12:17:50.514Z,2,"[{'x': 346, 'y': 357}, {'x': 449, 'y': 372}]"
